smiles,gap,mol_weight,exact_mass,polarizability,heat_formation,subset
CC(=O)C1(C)CCC1,13.847,112.16958000000008,112.088815004,13.243616,-212.25871,PQR–QM9 overlap
CC(=O)C1=CCCC1,12.767,110.15370000000006,110.07316494,13.224823,-158.996,PQR–QM9 overlap
CC(=O)C1CC1,10.876,84.11642,84.057514876,9.732965,-125.83485,PQR–QM9 overlap
CC(=O)C1CCC1,13.947,98.14300000000006,98.07316494,11.429822,-184.88068,PQR–QM9 overlap
CC(=O)C1CCCC1,13.953,112.16958000000008,112.088815004,13.247227,-259.1949,PQR–QM9 overlap
CC(=O)C1CCCCC1,13.859,126.19616000000008,126.104465068,15.139653,-291.54732,PQR–QM9 overlap
CC(=O)CC(=O)C(C)C,10.602,128.16898000000003,128.083729624,13.927023,-442.39925,PQR–QM9 overlap
CC(=O)CC(=O)N(C)C,10.404,129.15704000000002,129.078978597,13.524024,-398.52769,PQR–QM9 overlap
CC(=O)CC(C)(C)C,13.975,114.18546000000008,114.104465068,13.712825,-318.0325,PQR–QM9 overlap
CC(=O)CCC(C)(C)C,14.055,128.2120400000001,128.120115132,15.579181,-339.9779,PQR–QM9 overlap
CC(=O)CCO,14.108,88.10512000000004,88.052429496,8.886105,-410.08693,PQR–QM9 overlap
CC(=O)CO,13.997,74.07854000000003,74.036779432,7.065123,-384.75714,PQR–QM9 overlap
CC(=O)N(C)C,10.349,87.12036000000005,87.068413913,9.670726,-230.47082,PQR–QM9 overlap
CC(=O)N1CC1,13.698,85.10448000000004,85.052763849,9.190959,-60.50823,PQR–QM9 overlap
CC(=O)NC(=O)CN,13.155,116.11852000000005,116.058577506,11.086756,-378.28035,PQR–QM9 overlap
CC(=O)NC(C)(C)C,14.205000000000002,115.17352000000008,115.099714041,13.176383,-320.47516,PQR–QM9 overlap
CC(=O)NC1(C)CC1,14.16,113.15764000000006,113.084063977,12.823733,-167.41166,PQR–QM9 overlap
